"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","AAPL.Date","Company.Name"
0.936384,1.004464,0.907924,0.999442,535796800,0.858137,"2000-01-03","APPLE"
0.966518,0.987723,0.90346,0.915179,512377600,0.785788,"2000-01-04","APPLE"
0.926339,0.987165,0.919643,0.928571,778321600,0.797286,"2000-01-05","APPLE"
0.947545,0.955357,0.848214,0.848214,767972800,0.728291,"2000-01-06","APPLE"
0.861607,0.901786,0.852679,0.888393,460734400,0.762789,"2000-01-07","APPLE"
0.910714,0.912946,0.845982,0.872768,505064000,0.749373,"2000-01-10","APPLE"
0.856585,0.887277,0.808036,0.828125,441548800,0.711042,"2000-01-11","APPLE"
0.848214,0.852679,0.772321,0.77846,976068800,0.668398,"2000-01-12","APPLE"
0.84361,0.881696,0.825893,0.863839,1032684800,0.741706,"2000-01-13","APPLE"
0.892857,0.912946,0.887277,0.896763,390376000,0.769975,"2000-01-14","APPLE"
0.901786,0.946429,0.896763,0.928013,459177600,0.796807,"2000-01-18","APPLE"
0.94308,0.970982,0.922991,0.951451,597643200,0.816931,"2000-01-19","APPLE"
1.03125,1.084821,1.013393,1.013393,1831132800,0.870116,"2000-01-20","APPLE"
1.020089,1.020089,0.983817,0.993862,495924800,0.853346,"2000-01-21","APPLE"
0.968192,1.006696,0.938616,0.948661,440876800,0.814536,"2000-01-24","APPLE"
0.9375,1.010045,0.914063,1.002232,497145600,0.860533,"2000-01-25","APPLE"
0.982143,1.019531,0.979911,0.983817,367158400,0.844721,"2000-01-26","APPLE"
0.97154,1.008929,0.955357,0.982143,340144000,0.843284,"2000-01-27","APPLE"
0.96596,0.989955,0.898438,0.907366,423348800,0.779079,"2000-01-28","APPLE"
0.901786,0.927455,0.84375,0.926339,701680000,0.79537,"2000-01-31","APPLE"
0.928571,0.9375,0.892857,0.895089,318035200,0.768538,"2000-02-01","APPLE"
0.899554,0.91183,0.866071,0.882254,464195200,0.757518,"2000-02-02","APPLE"
0.895647,0.930804,0.895089,0.922433,475193600,0.792016,"2000-02-03","APPLE"
0.928013,0.982143,0.925223,0.964286,425320000,0.827952,"2000-02-04","APPLE"
0.964286,1.020089,0.945871,1.018415,441067200,0.874428,"2000-02-07","APPLE"
